Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.90,-.50,-.54,-.70,-.42,-.53,-.52,-.02,-.56,-.70,-.56,-.60,-.54,***,***,-.55,-.36,-.60
1881,-.83,-.68,-.44,-.35,-.11,-1.18,-.65,-.35,-.48,-.62,-.65,-.21,-.55,-.58,-.70,-.30,-.73,-.58
1882,.01,-.23,-.20,-.69,-.47,-1.10,-.81,-.22,-.14,-.41,-.51,-.78,-.46,-.42,-.15,-.45,-.71,-.36
1883,-.79,-1.04,-.61,-.45,-.49,.27,-.18,-.32,-.61,-.69,-.83,-.55,-.52,-.54,-.87,-.52,-.08,-.71
1884,-.65,-.51,-.63,-1.04,-1.29,-.93,-1.00,-.01,-.49,-.89,-.95,-1.10,-.79,-.75,-.57,-.99,-.65,-.78
1885,-1.08,-.89,-1.01,-1.06,-.63,-1.01,-.72,-.24,-.19,-.18,-.46,-.19,-.64,-.71,-1.03,-.90,-.66,-.28
1886,-.87,-.95,-.79,-.69,-.63,-.96,-.47,-.81,-.49,-.87,-.56,-.83,-.74,-.69,-.67,-.71,-.75,-.64
1887,-.99,-1.36,-.70,-.92,-.93,-.76,-.47,-.36,-.66,-.67,-.98,-.82,-.80,-.80,-1.06,-.85,-.53,-.77
1888,-.83,-.90,-.98,-.39,-.83,-.62,-.44,-.43,-.43,-.40,-.13,-.27,-.55,-.60,-.85,-.74,-.49,-.32
1889,-.46,.04,-.05,-.02,.01,-.37,-.50,-.69,-.45,-.30,-.62,-.56,-.33,-.31,-.23,-.02,-.52,-.46
1890,-.69,-.69,-.71,-.58,-.99,-.63,-.71,-.69,-.40,-.35,-.81,-.59,-.65,-.65,-.65,-.76,-.68,-.52
1891,-1.04,-1.07,-.58,-.72,-.53,-.61,-.78,-.60,-.50,-.69,-.66,-.14,-.66,-.70,-.90,-.61,-.66,-.62
1892,-.66,-.38,-.67,-.80,-.77,-.68,-.49,-.36,-.53,-.46,-.69,-.68,-.60,-.55,-.39,-.75,-.51,-.56
1893,-1.52,-1.06,-.65,-.73,-.84,-.82,-.26,-.46,-.37,-.20,-.26,-.47,-.64,-.65,-1.09,-.74,-.51,-.27
1894,-.92,-.65,-.42,-.69,-.73,-.55,-.45,-.44,-.53,-.20,-.27,-.23,-.51,-.53,-.68,-.61,-.48,-.33
1895,-.78,-.86,-.60,-.55,-.36,-.37,-.55,-.26,-.20,-.19,-.23,-.17,-.43,-.43,-.62,-.51,-.39,-.21
1896,-.30,-.33,-.58,-.55,-.47,-.47,-.25,-.41,-.18,-.09,-.51,-.27,-.37,-.36,-.27,-.53,-.38,-.26
1897,-.32,-.54,-.36,-.16,-.29,-.21,-.15,-.38,-.19,-.30,-.09,-.33,-.28,-.27,-.38,-.27,-.24,-.19
1898,-.17,-.53,-.85,-.61,-.67,-.32,-.40,-.29,-.09,-.45,-.55,-.27,-.43,-.44,-.34,-.71,-.33,-.36
1899,-.48,-.65,-.44,-.31,-.46,-.59,-.34,-.34,-.03,-.32,-.07,-.27,-.36,-.36,-.46,-.40,-.42,-.14
1900,-.59,-.10,-.22,-.20,-.21,-.15,-.41,-.22,-.13,.07,-.17,-.11,-.20,-.22,-.32,-.21,-.26,-.07
1901,-.31,-.16,-.15,-.14,-.27,-.03,-.32,-.29,-.04,-.24,-.18,-.29,-.20,-.19,-.19,-.19,-.21,-.15
1902,-.35,-.08,-.21,-.23,-.36,-.42,-.49,-.55,-.44,-.51,-.54,-.60,-.40,-.37,-.24,-.27,-.49,-.50
1903,-.37,-.17,-.22,-.58,-.47,-.68,-.36,-.48,-.49,-.54,-.50,-.65,-.46,-.46,-.38,-.42,-.51,-.51
1904,-.83,-.80,-.58,-.48,-.67,-.52,-.65,-.53,-.49,-.56,-.30,-.45,-.57,-.59,-.76,-.58,-.57,-.45
1905,-.45,-1.03,-.28,-.34,-.38,-.34,-.49,-.32,-.26,-.40,-.11,-.29,-.39,-.41,-.65,-.34,-.38,-.26
1906,-.22,-.41,-.38,.02,-.24,-.29,-.28,-.23,-.35,-.23,-.58,-.30,-.29,-.29,-.30,-.20,-.27,-.39
1907,-.54,-.73,-.51,-.66,-.63,-.71,-.47,-.60,-.43,-.37,-.64,-.70,-.58,-.55,-.52,-.60,-.59,-.48
1908,-.41,-.36,-.56,-.50,-.37,-.47,-.44,-.43,-.20,-.43,-.63,-.44,-.44,-.46,-.49,-.47,-.45,-.42
1909,-.82,-.61,-.53,-.65,-.63,-.46,-.40,-.15,-.24,-.21,-.18,-.58,-.45,-.44,-.62,-.60,-.34,-.21
1910,-.50,-.43,-.49,-.35,-.30,-.39,-.27,-.18,-.14,-.34,-.57,-.70,-.39,-.38,-.50,-.38,-.28,-.35
1911,-.69,-.70,-.65,-.57,-.42,-.42,-.20,-.29,-.29,-.21,-.18,-.30,-.41,-.44,-.70,-.55,-.30,-.23
1912,-.23,-.14,-.46,-.32,-.23,-.30,-.53,-.66,-.38,-.50,-.47,-.37,-.38,-.38,-.22,-.34,-.50,-.45
1913,-.48,-.54,-.63,-.34,-.65,-.64,-.26,-.23,-.23,-.33,-.19,.00,-.38,-.41,-.47,-.54,-.38,-.25
1914,.10,-.08,-.09,-.24,-.05,-.11,-.25,-.13,-.12,.08,-.37,-.26,-.13,-.10,.01,-.13,-.16,-.13
1915,-.23,.03,-.08,-.05,-.24,-.27,-.01,-.22,-.04,-.13,.01,-.16,-.12,-.13,-.16,-.12,-.17,-.05
1916,-.14,-.19,-.48,-.34,-.39,-.55,-.40,-.15,-.22,-.19,-.43,-.84,-.36,-.30,-.16,-.41,-.37,-.28
1917,-.56,-.77,-.83,-.57,-.83,-.51,-.04,-.43,-.36,-.53,-.40,-.97,-.57,-.55,-.72,-.74,-.32,-.43
1918,-.69,-.67,-.57,-.58,-.81,-.49,-.56,-.54,-.24,-.04,-.30,-.41,-.49,-.54,-.77,-.66,-.53,-.19
1919,-.35,-.27,-.19,-.18,-.21,-.24,-.15,-.13,-.24,-.13,-.49,-.36,-.25,-.25,-.34,-.19,-.17,-.29
1920,-.17,-.32,-.22,-.25,-.39,-.44,-.28,-.21,-.22,-.48,-.37,-.54,-.32,-.31,-.28,-.29,-.31,-.36
1921,-.07,-.23,-.17,-.23,-.25,-.17,-.06,-.53,-.19,-.16,-.31,-.23,-.22,-.24,-.28,-.22,-.25,-.22
1922,-.45,-.52,-.37,-.16,-.44,-.36,-.11,-.31,-.20,-.34,-.18,-.20,-.30,-.30,-.40,-.32,-.26,-.24
1923,-.31,-.28,-.27,-.54,-.37,-.35,-.56,-.43,-.36,-.15,-.09,-.14,-.32,-.33,-.27,-.39,-.45,-.20
1924,-.33,-.48,-.18,-.55,-.33,-.24,-.23,-.22,-.12,-.20,-.12,-.35,-.28,-.26,-.32,-.35,-.23,-.14
1925,-.50,-.43,-.35,-.23,-.39,-.48,-.48,-.17,-.35,-.40,-.09,.14,-.31,-.35,-.43,-.32,-.37,-.28
1926,.20,.21,.14,-.17,-.42,-.29,-.23,-.05,-.05,-.17,-.03,-.31,-.10,-.06,.18,-.15,-.19,-.08
1927,-.24,-.25,-.45,-.40,-.37,-.31,-.13,-.32,-.17,.09,.06,-.29,-.23,-.23,-.27,-.40,-.25,-.01
1928,-.02,-.07,-.15,-.15,-.44,-.60,-.12,-.10,-.03,-.10,.04,-.10,-.15,-.17,-.13,-.25,-.27,-.03
1929,-.33,-.57,-.41,-.47,-.46,-.49,-.43,-.43,-.25,-.04,-.09,-.66,-.38,-.34,-.33,-.45,-.45,-.12
1930,-.27,-.25,-.10,-.27,-.21,-.27,-.26,-.24,-.18,-.33,.05,-.11,-.20,-.25,-.39,-.20,-.26,-.15
1931,-.16,-.31,-.08,-.32,-.20,-.12,.04,.07,-.19,.01,-.19,.04,-.12,-.13,-.19,-.20,-.01,-.13
1932,.30,-.31,-.23,.04,-.21,-.48,-.25,-.20,.04,.06,-.13,-.17,-.13,-.11,.01,-.13,-.31,-.01
1933,-.39,-.30,-.28,-.22,-.16,-.29,-.14,-.21,-.13,-.11,-.39,-.57,-.27,-.23,-.28,-.22,-.22,-.21
1934,-.17,-.14,-.39,-.38,-.02,-.20,-.02,.03,-.11,-.09,.01,.05,-.12,-.17,-.30,-.26,-.06,-.06
1935,-.36,.20,.00,-.53,-.38,-.26,-.31,-.28,-.42,-.10,-.35,-.22,-.25,-.23,-.04,-.30,-.28,-.29
1936,-.31,-.46,-.19,-.06,-.32,-.20,.18,-.03,-.05,-.02,-.01,.06,-.12,-.14,-.33,-.19,-.02,-.03
